team,p_champion,p_finalist,p_semi,p_quarter,p_r16,p_group_advance
Brazil,0.1575,0.2398,0.3624,0.5261,0.7363,1.0
Iran,0.0945,0.1604,0.2606,0.4106,0.6184,0.8916
Canada,0.09,0.1589,0.2741,0.4465,0.6864,1.0
Argentina,0.088,0.1617,0.2774,0.4468,0.686,0.9983
England,0.0731,0.1295,0.2267,0.383,0.6159,0.9536
United States,0.0712,0.1325,0.237,0.4082,0.6627,1.0
Morocco,0.0632,0.1209,0.2193,0.3799,0.6258,1.0
Spain,0.0421,0.0899,0.1822,0.3478,0.6091,1.0
Portugal,0.0399,0.0888,0.174,0.327,0.5749,0.952
France,0.0389,0.0833,0.1706,0.3353,0.6,0.9976
Japan,0.0382,0.0822,0.1695,0.3272,0.5907,1.0
Australia,0.0305,0.0697,0.1524,0.297,0.5564,0.974
Belgium,0.0266,0.0596,0.1256,0.2487,0.4677,0.7991
Mexico,0.025,0.0585,0.1356,0.2838,0.5594,1.0
Colombia,0.016,0.0362,0.0885,0.2009,0.446,0.8747
Algeria,0.0159,0.0405,0.0945,0.2167,0.4565,0.8848
South Korea,0.0124,0.035,0.0878,0.2082,0.4612,0.9512
Switzerland,0.0122,0.0341,0.0919,0.2258,0.4931,1.0
Egypt,0.012,0.0329,0.0832,0.2063,0.4684,1.0
Germany,0.009,0.0316,0.088,0.2181,0.4996,1.0
Netherlands,0.0069,0.0215,0.0669,0.1769,0.445,1.0
Saudi Arabia,0.006,0.0181,0.0457,0.1163,0.2836,0.6366
Ivory Coast,0.0055,0.0186,0.0566,0.1608,0.4133,0.9518
Uruguay,0.0042,0.0126,0.0341,0.0887,0.224,0.5102
Sweden,0.0027,0.0106,0.0385,0.127,0.3545,0.9316
Ecuador,0.0025,0.0101,0.0315,0.0756,0.1859,0.3963
Ghana,0.0025,0.0101,0.0334,0.095,0.2543,0.62
Croatia,0.0023,0.0098,0.0295,0.0866,0.2354,0.5871
Senegal,0.0018,0.006,0.0163,0.0573,0.1681,0.4467
Panama,0.0018,0.006,0.0197,0.0688,0.1948,0.5429
Paraguay,0.0016,0.0054,0.0192,0.0703,0.2425,0.7018
Scotland,0.0015,0.0048,0.0165,0.0724,0.2459,0.7679
New Zealand,0.0013,0.004,0.0125,0.0359,0.0873,0.1994
Czech Republic,0.0007,0.0026,0.0095,0.0264,0.0725,0.1894
South Africa,0.0005,0.002,0.0055,0.0189,0.0593,0.1767
Norway,0.0004,0.0017,0.0112,0.0524,0.2241,0.8767
Uzbekistan,0.0004,0.0011,0.0088,0.0384,0.1457,0.4935
Austria,0.0004,0.0011,0.0063,0.0266,0.0991,0.3335
Qatar,0.0003,0.0031,0.0125,0.0459,0.1592,0.4809
Jordan,0.0002,0.0015,0.0065,0.0279,0.1171,0.396
Bosnia and Herzegovina,0.0001,0.0004,0.0023,0.0137,0.0624,0.2434
Haiti,0.0001,0.0001,0.0001,0.001,0.0038,0.0138
DR Congo,0.0001,0.0011,0.0059,0.0244,0.0987,0.3584
Turkey,0.0,0.0001,0.0001,0.0002,0.0033,0.0176
Cape Verde,0.0,0.0003,0.0024,0.0126,0.0723,0.3739
Tunisia,0.0,0.0,0.0,0.0001,0.0001,0.0002
Curacao,0.0,0.0,0.0001,0.0019,0.0146,0.0979
Iraq,0.0,0.0013,0.0071,0.0341,0.1187,0.3789
